predator	LokalID	Lokal	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	perc_undeveloped	n_intact_fruits	n_seeds	attack
1	Ale001	Bockemossen	71	2	19,1	4	3	4	0	5	0	NA	0	NA	0
1	Ale001	Bockemossen	72	1	13,6	1	1	1	0	0	2	NA	1	150	0
1	Ale001	Bockemossen	73	1	6,2	5	1,8	3	0	1	0	NA	4	380	0
1	Ale001	Bockemossen	74	3	18,3	3	1,333333333	2	2	3	0	NA	0	NA	1
1	Ale001	Bockemossen	75	2	18	1	2	2	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	76	2	14,4	2	2	3	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	77	3	23,3	5	1,2	2	4	4	0	NA	1	280	1
1	Ale001	Bockemossen	78	1	31,5	5	1,2	2	0	3	0	NA	2	330	0
1	Ale001	Bockemossen	79	1	30,6	6	1,833333333	3	1	4	1	NA	2	140	1
1	Ale001	Bockemossen	80	1	25,2	2	2,5	3	0	2	0	NA	0	NA	0
1	Ale001	Bockemossen	81	2	24,5	1	3	3	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	82	2	19,8	2	2,5	3	0	1	0	NA	1	420	0
1	Ale001	Bockemossen	83	28	18,2	3	1,666666667	3	2	2	0	NA	0	NA	1
1	Ale001	Bockemossen	84	3	20,1	4	2	3	0	2	2	NA	0	NA	0
1	Ale001	Bockemossen	85	5	21	4	2,25	3	0	3	0	NA	1	260	0
1	Ale001	Bockemossen	86	1	17,7	4	1,75	2	0	2	0	NA	2	0	0
1	Ale001	Bockemossen	87	2	18,5	3	2	2	1	2	0	NA	1	130	1
1	Ale001	Bockemossen	88	4	19,1	5	3,4	5	0	4	0	100	1	0	0
1	Ale001	Bockemossen	89	3	23,7	5	2,2	3	0	2	4	NA	3	NA	0
1	Ale001	Bockemossen	90	2	20,3	3	1,666666667	3	0	2	1	NA	0	NA	0
1	Ale001	Bockemossen	91	4	19,2	3	1,333333333	2	0	1	0	NA	1	0	0
1	Ale001	Bockemossen	92	1	20,2	4	1,25	2	0	0	0	NA	0	NA	0
1	Ale001	Bockemossen	93	1	17,9	2	1	1	0	0	0	NA	0	NA	0
1	Ale001	Bockemossen	94	2	18,6	2	1,5	2	0	2	1	NA	0	NA	0
1	Ale001	Bockemossen	95	1	17,7	1	3	3	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	96	3	23,7	3	1,666666667	3	0	2	0	NA	1	0	0
1	Ale001	Bockemossen	97	3	31,5	5	3,2	4	0	0	0	NA	0	NA	0
1	Ale001	Bockemossen	98	4	29,3	5	1,8	3	2	1	0	NA	3	960	1
1	Ale001	Bockemossen	99	1	27,5	4	2,75	3	4	3	0	NA	2	1100	1
1	Ale001	Bockemossen	100	2	29,4	5	2	3	0	3	0	100	2	790	0
0	Ale010	Stora Kroksjön Ö stranden	1	1	27,6	1	2	2	0	0	0	NA	1	550	0
0	Ale010	Stora Kroksjön Ö stranden	2	2	15,6	1	1	1	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	3	1	19,8	1	1	1	0	1	0	0	0	0	0
0	Ale010	Stora Kroksjön Ö stranden	4	1	20,6	1	1	1	0	0	0	NA	1	400	0
0	Ale010	Stora Kroksjön Ö stranden	5	1	30,2	3	2,666666667	4	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	6	3	20,6	2	2	3	0	0	1	NA	1	170	0
0	Ale010	Stora Kroksjön Ö stranden	7	1	20,5	1	2	2	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	8	3	18,2	1	2	2	0	1	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	9	1	22	2	1,5	2	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	10	1	31,7	5	3	5	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	11	1	35,1	3	3,333333333	4	0	0	0	NA	3	1620	0
0	Ale010	Stora Kroksjön Ö stranden	12	1	19,2	2	3,5	5	0	1	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	13	1	20,3	1	1	1	0	1	0	20	0	210	0
0	Ale010	Stora Kroksjön Ö stranden	14	1	18,6	3	1	1	0	3	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	15	1	15,4	1	3	3	0	0	0	NA	1	330	0
0	Ale010	Stora Kroksjön Ö stranden	16	1	22,9	2	2,5	4	0	1	0	NA	1	620	0
0	Ale010	Stora Kroksjön Ö stranden	17	2	12	1	1	1	0	1	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	18	2	15,3	1	1	1	0	1	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	19	1	13,5	1	2	2	0	0	0	NA	1	270	0
0	Ale010	Stora Kroksjön Ö stranden	20	2	19,7	1	2	2	0	0	0	NA	1	30	0
0	Ale010	Stora Kroksjön Ö stranden	21	1	17,6	1	2	2	0	1	1	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	22	1	29,2	1	2	2	0	1	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	23	1	22	1	3	3	0	0	0	NA	2	1560	0
0	Ale010	Stora Kroksjön Ö stranden	24	1	25,6	3	2,666666667	4	0	0	0	NA	3	630	0
0	Ale010	Stora Kroksjön Ö stranden	25	2	16,4	1	1	1	0	1	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	26	1	28,5	2	3	4	0	2	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	27	2	30,2	1	1	1	0	1	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	28	2	31,5	2	2	3	0	1	0	NA	1	110	0
0	Ale010	Stora Kroksjön Ö stranden	29	1	22,8	1	2	2	0	0	0	NA	1	140	0
0	Ale010	Stora Kroksjön Ö stranden	30	1	31,1	2	1,5	2	0	0	0	NA	1	220	0
0	Ale010	Stora Kroksjön Ö stranden	31	4	24,1	1	1	1	0	1	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	32	2	24	1	1	1	0	1	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	33	1	18,3	1	1	1	0	1	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	34	2	13,3	1	1	1	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	35	1	15,7	1	2	2	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	36	3	26,6	4	1,25	2	0	0	1	NA	2	1180	0
0	Ale010	Stora Kroksjön Ö stranden	37	1	16,5	1	2	2	0	0	0	NA	1	470	0
0	Ale010	Stora Kroksjön Ö stranden	38	1	15,2	1	1	1	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	39	2	18,5	2	1,5	2	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	40	1	26,9	2	3	4	0	0	0	NA	2	930	0
0	Ale010	Stora Kroksjön Ö stranden	41	1	27,1	3	3,333333333	5	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	42	2	23	2	2	2	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	43	1	33,2	3	2,333333333	3	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	44	3	22,1	1	2	2	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	45	8	27,8	1	3	3	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	46	3	14,3	1	3	3	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	47	1	21,3	3	2	2	0	1	0	NA	2	1260	0
0	Ale010	Stora Kroksjön Ö stranden	48	2	19,6	1	2	2	0	0	0	NA	1	520	0
0	Ale010	Stora Kroksjön Ö stranden	49	1	32,7	2	3	4	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	50	2	27	1	2	2	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	51	3	18,4	1	2	2	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	52	2	33,9	1	2	2	0	0	0	NA	1	630	0
0	Ale010	Stora Kroksjön Ö stranden	53	2	27,1	4	2,5	4	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	54	2	17	1	2	2	0	0	0	NA	1	90	0
0	Ale010	Stora Kroksjön Ö stranden	55	1	30,5	2	2,5	4	0	0	0	NA	1	500	0
0	Ale010	Stora Kroksjön Ö stranden	56	3	21	2	3	4	0	2	0	90	0	10	0
0	Ale010	Stora Kroksjön Ö stranden	57	1	26,2	3	2	3	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	58	3	15,1	1	2	2	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	59	3	23,9	1	2	2	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	60	2	21,4	1	1	1	0	0	0	NA	1	0	0
0	Ale010	Stora Kroksjön Ö stranden	61	2	23,2	2	2,5	4	0	1	0	NA	1	560	0
0	Ale010	Stora Kroksjön Ö stranden	62	1	20,5	1	1	1	0	1	0	70	0	0	0
0	Ale010	Stora Kroksjön Ö stranden	63	3	32,5	2	2,5	3	0	1	0	NA	1	550	0
0	Ale010	Stora Kroksjön Ö stranden	64	2	24,6	1	2	2	0	0	0	NA	1	NA	0
0	Ale010	Stora Kroksjön Ö stranden	65	1	16,9	1	1	1	0	0	0	NA	1	60	0
0	Ale010	Stora Kroksjön Ö stranden	66	3	19,2	1	4	4	0	0	0	NA	1	570	0
0	Ale010	Stora Kroksjön Ö stranden	67	3	27,4	2	1,5	2	0	0	0	NA	2	540	0
0	Ale010	Stora Kroksjön Ö stranden	68	1	25,8	1	2	2	0	0	1	NA	1	420	0
0	Ale010	Stora Kroksjön Ö stranden	69	2	28,3	1	1	1	0	0	0	NA	1	NA	0
0	Ale010	Stora Kroksjön Ö stranden	70	2	30,6	3	2,666666667	4	0	0	0	NA	3	510	0
0	Ale010	Stora Kroksjön Ö stranden	71	3	34,7	3	2	3	0	0	0	NA	4	1506,666667	0
0	Ale010	Stora Kroksjön Ö stranden	72	1	16,2	1	1	1	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	73	2	14	1	1	1	0	0	0	NA	1	90	0
0	Ale010	Stora Kroksjön Ö stranden	74	1	19,2	1	1	1	0	1	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	75	1	17,2	1	1	1	0	0	0	NA	1	220	0
0	Ale010	Stora Kroksjön Ö stranden	76	3	15,2	2	1,5	2	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	77	1	16,6	1	1	1	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	78	1	19,3	2	2,5	3	0	2	0	NA	1	240	0
0	Ale010	Stora Kroksjön Ö stranden	79	2	20,2	2	1	1	0	0	0	NA	1	10	0
0	Ale010	Stora Kroksjön Ö stranden	80	3	21	2	1,5	2	0	1	1	70	0	0	0
0	Ale010	Stora Kroksjön Ö stranden	81	3	30	3	1	1	0	2	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	82	2	25	1	1	1	0	0	1	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	83	2	14	1	2	2	0	1	0	100	0	0	0
0	Ale010	Stora Kroksjön Ö stranden	84	1	19,2	2	1,5	2	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	85	1	18,5	1	1	1	0	1	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	86	2	15,6	1	1	1	0	0	0	NA	1	280	0
0	Ale010	Stora Kroksjön Ö stranden	87	5	22,7	1	3	3	0	1	0	20	0	20	0
0	Ale010	Stora Kroksjön Ö stranden	88	2	24,3	1	2	2	0	0	1	NA	1	220	0
0	Ale010	Stora Kroksjön Ö stranden	89	2	24,7	2	1,5	2	0	1	1	NA	1	80	0
0	Ale010	Stora Kroksjön Ö stranden	90	2	29,9	3	1,666666667	3	0	1	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	91	1	26	2	1	1	0	0	0	NA	1	170	0
0	Ale010	Stora Kroksjön Ö stranden	92	1	17,2	1	1	1	0	1	0	100	0	0	0
0	Ale010	Stora Kroksjön Ö stranden	93	2	25,7	2	1	1	0	1	0	NA	1	410	0
0	Ale010	Stora Kroksjön Ö stranden	94	4	21,2	1	2	2	0	1	0	100	0	0	0
0	Ale010	Stora Kroksjön Ö stranden	95	1	15,4	3	2	3	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	96	2	26,8	3	1,666666667	3	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	97	1	12,7	1	1	1	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	98	2	12,9	1	1	1	0	0	0	NA	1	190	0
0	Ale010	Stora Kroksjön Ö stranden	99	2	12,9	1	1	1	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	100	1	17,4	2	2,5	3	0	1	0	40	1	640	0
0	Bor012	Strand på Näsudden i Frisjön	1	3	16,1	2	3,5	5	0	1	0	NA	0	NA	0
0	Bor012	Strand på Näsudden i Frisjön	2	4	14,1	1	2	2	0	0	0	NA	1	390	0
0	Bor012	Strand på Näsudden i Frisjön	3	4	17,2	3	1	1	0	1	2	NA	0	NA	0
0	Bor012	Strand på Näsudden i Frisjön	4	2	31	2	2,5	3	0	1	0	NA	1	440	0
0	Bor012	Strand på Näsudden i Frisjön	5	4	12,1	1	1	1	0	1	0	NA	0	NA	0
0	Bor012	Strand på Näsudden i Frisjön	6	2	14,1	1	1	1	0	1	0	NA	0	NA	0
0	Bor012	Strand på Näsudden i Frisjön	7	2	28,5	3	3	5	0	1	0	40	1	280	0
0	Bor012	Strand på Näsudden i Frisjön	8	5	25	1	2	2	0	0	0	NA	1	410	0
0	Bor012	Strand på Näsudden i Frisjön	9	3	17,2	1	2	2	0	0	0	NA	1	220	0
0	Bor012	Strand på Näsudden i Frisjön	10	2	12,1	1	1	1	0	1	0	NA	0	NA	0
0	Bor012	Strand på Näsudden i Frisjön	11	8	25,4	1	3	3	0	0	0	NA	1	580	0
0	Bor012	Strand på Näsudden i Frisjön	12	4	24,7	1	3	3	0	0	0	NA	1	640	0
0	Bor012	Strand på Näsudden i Frisjön	13	2	26,5	1	3	3	0	0	0	NA	1	710	0
0	Bor012	Strand på Näsudden i Frisjön	14	6	22,5	1	2	2	0	0	0	NA	1	390	0
0	Bor012	Strand på Näsudden i Frisjön	15	2	22,6	1	4	4	0	0	0	NA	1	600	0
0	Bor012	Strand på Näsudden i Frisjön	16	8	22,9	1	5	5	0	0	0	NA	1	NA	0
0	Bor012	Strand på Näsudden i Frisjön	17	4	16,5	1	2	2	0	1	0	NA	0	NA	0
0	Bor012	Strand på Näsudden i Frisjön	18	6	22,5	1	4	4	0	0	0	NA	1	580	0
0	Bor012	Strand på Näsudden i Frisjön	19	5	40,6	2	2,5	3	0	0	0	NA	2	1220	0
0	Bor012	Strand på Näsudden i Frisjön	20	4	30,5	1	3	3	0	0	0	NA	1	470	0
0	Bor012	Strand på Näsudden i Frisjön	21	9	28	1	3	3	0	0	0	NA	1	100	0
0	Bor012	Strand på Näsudden i Frisjön	22	6	31	1	3	3	0	1	0	NA	1	0	0
0	Bor012	Strand på Näsudden i Frisjön	23	4	15,3	1	2	2	0	0	0	NA	1	320	0
0	Bor012	Strand på Näsudden i Frisjön	24	8	25,6	1	2	2	0	0	0	NA	1	0	0
0	Bor012	Strand på Näsudden i Frisjön	25	1	31,1	2	3,5	5	0	0	0	NA	2	960	0
0	Bor012	Strand på Näsudden i Frisjön	26	2	37,5	2	3	4	0	0	0	NA	1	590	0
0	Bor012	Strand på Näsudden i Frisjön	27	6	33,7	1	4	4	0	0	0	NA	1	770	0
0	Bor012	Strand på Näsudden i Frisjön	28	4	30,5	1	4	4	0	0	0	NA	1	NA	0
0	Bor012	Strand på Näsudden i Frisjön	29	6	24,7	1	2	2	0	0	0	NA	1	510	0
0	Bor012	Strand på Näsudden i Frisjön	30	12	30	2	4	5	0	0	0	NA	2	NA	0
0	Bor012	Strand på Näsudden i Frisjön	31	10	22,7	1	1	1	0	0	0	NA	1	170	0
0	Bor012	Strand på Näsudden i Frisjön	32	3	17,6	1	4	4	0	0	0	NA	1	620	0
0	Bor012	Strand på Näsudden i Frisjön	33	3	26,5	1	2	2	0	0	0	NA	1	180	0
0	Bor012	Strand på Näsudden i Frisjön	34	6	29,8	2	3	5	0	1	0	NA	1	610	0
0	Bor012	Strand på Näsudden i Frisjön	35	4	24,1	3	3	5	0	0	0	NA	2	1080	0
0	Bor012	Strand på Näsudden i Frisjön	36	8	26,6	3	2	4	0	1	0	0	0	570	0
0	Bor012	Strand på Näsudden i Frisjön	37	2	9,4	1	2	2	0	1	0	NA	0	NA	0
0	Bor012	Strand på Näsudden i Frisjön	38	3	14,6	1	1	1	0	1	0	NA	0	NA	0
0	Bor012	Strand på Näsudden i Frisjön	39	4	29,6	4	2,5	4	0	2	0	10	2	1160	0
0	Bor012	Strand på Näsudden i Frisjön	40	2	27,7	2	3	4	0	1	0	NA	1	660	0
0	Bor012	Strand på Näsudden i Frisjön	41	2	25,5	1	3	3	0	0	0	NA	1	NA	0
0	Bor012	Strand på Näsudden i Frisjön	42	3	22,1	1	4	4	0	0	0	NA	1	0	0
0	Bor012	Strand på Näsudden i Frisjön	43	2	15,2	1	2	2	0	1	0	NA	0	NA	0
0	Bor012	Strand på Näsudden i Frisjön	44	5	24,3	3	2,333333333	3	0	2	0	NA	1	560	0
0	Bor012	Strand på Näsudden i Frisjön	45	4	21	1	3	3	0	0	0	NA	1	350	0
0	Bor012	Strand på Näsudden i Frisjön	46	3	17,7	1	3	3	0	0	0	NA	1	170	0
0	Bor012	Strand på Näsudden i Frisjön	47	2	21,1	1	3	3	0	0	0	10	1	0	0
0	Bor012	Strand på Näsudden i Frisjön	48	3	11,2	1	2	2	0	0	0	NA	1	350	0
0	Bor012	Strand på Näsudden i Frisjön	49	4	21,2	2	3,5	5	0	0	0	NA	1	560	0
0	Bor012	Strand på Näsudden i Frisjön	50	2	13,2	1	2	2	0	0	0	NA	1	0	0
0	Bor012	Strand på Näsudden i Frisjön	51	2	16,8	1	4	4	0	0	0	NA	1	520	0
0	Bor012	Strand på Näsudden i Frisjön	52	1	10,1	1	3	3	0	0	0	NA	1	330	0
0	Bor012	Strand på Näsudden i Frisjön	53	6	15,5	1	1	1	0	0	0	NA	0	NA	0
0	Bor012	Strand på Näsudden i Frisjön	54	1	22	2	3,5	5	0	0	0	NA	0	NA	0
0	Bor012	Strand på Näsudden i Frisjön	55	2	15,9	1	1	1	0	1	0	NA	0	NA	0
0	Bor012	Strand på Näsudden i Frisjön	56	2	21,6	1	4	4	0	0	0	NA	1	620	0
0	Bor012	Strand på Näsudden i Frisjön	57	2	10,5	1	1	1	0	1	0	NA	0	NA	0
0	Bor012	Strand på Näsudden i Frisjön	58	2	14,4	1	2	2	0	0	0	NA	1	0	0
0	Bor012	Strand på Näsudden i Frisjön	59	5	10,9	1	1	1	0	1	0	NA	0	NA	0
0	Bor012	Strand på Näsudden i Frisjön	60	2	18,4	1	4	4	0	0	0	NA	1	450	0
0	Bor012	Strand på Näsudden i Frisjön	61	2	16,1	2	3	4	0	0	0	NA	2	880	0
0	Bor012	Strand på Näsudden i Frisjön	62	5	19,2	2	2,5	4	0	1	0	NA	1	490	0
0	Bor012	Strand på Näsudden i Frisjön	63	1	13,8	1	2	2	0	0	0	NA	1	330	0
0	Bor012	Strand på Näsudden i Frisjön	64	3	15,2	1	3	3	0	0	0	NA	1	380	0
0	Bor012	Strand på Näsudden i Frisjön	65	2	13,3	1	1	1	0	0	0	NA	1	0	0
0	Bor012	Strand på Näsudden i Frisjön	66	3	17,2	1	4	4	0	1	0	10	0	250	0
0	Bor012	Strand på Näsudden i Frisjön	67	2	18	2	3	4	0	0	0	NA	2	830	0
0	Bor012	Strand på Näsudden i Frisjön	68	8	15,5	1	4	4	0	0	0	NA	1	510	0
0	Bor012	Strand på Näsudden i Frisjön	69	3	19,3	2	3	4	0	1	0	0	1	1040	0
0	Bor012	Strand på Näsudden i Frisjön	70	2	25,7	2	3	4	0	1	0	0	1	910	0
0	Bor012	Strand på Näsudden i Frisjön	71	2	27,2	4	2,5	4	0	0	0	NA	0	NA	0
0	Bor012	Strand på Näsudden i Frisjön	72	3	24,5	2	3	4	0	2	0	0	0	720	0
0	Bor012	Strand på Näsudden i Frisjön	73	3	17	1	3	3	0	1	0	0	0	470	0
0	Bor012	Strand på Näsudden i Frisjön	74	3	23	1	4	4	0	0	0	NA	1	700	0
0	Bor012	Strand på Näsudden i Frisjön	75	1	20,7	3	2,666666667	4	0	0	0	NA	0	NA	0
0	Bor012	Strand på Näsudden i Frisjön	76	3	19	1	2	2	0	0	0	NA	1	460	0
0	Bor012	Strand på Näsudden i Frisjön	77	3	11,9	1	1	1	0	1	0	NA	0	NA	0
